2010,mm,dd,HH,SEK/kWh,C,COP
525,1,22,21,1.07,-3.8,4.3796
526,1,22,22,1.07,-3.7,4.3854
527,1,22,23,0.85,-3.7,4.3854
528,1,22,24,0.84,-3.6,4.3911999999999995
529,1,23,1,0.87,-3.6,4.3911999999999995
530,1,23,2,0.86,-3.5,4.396999999999999
531,1,23,3,0.85,-3.7,4.3854
532,1,23,4,0.85,-3.7,4.3854
533,1,23,5,0.85,-3.8,4.3796
534,1,23,6,1.06,-3.9,4.373799999999999
535,1,23,7,1.07,-4.2,4.3564
536,1,23,8,1.08,-5.4,4.2867999999999995
537,1,23,9,1.08,-5.8,4.263599999999999
538,1,23,10,1.09,-5.5,4.281
539,1,23,11,1.1,-5.4,4.2867999999999995
540,1,23,12,1.1,-4.4,4.344799999999999
541,1,23,13,1.09,-3.8,4.3796
542,1,23,14,1.09,-4.2,4.3564
543,1,23,15,1.09,-3.8,4.3796
544,1,23,16,1.11,-4.0,4.367999999999999
545,1,23,17,1.16,-4.3,4.3506
546,1,23,18,1.27,-4.3,4.3506
547,1,23,19,1.21,-4.4,4.344799999999999
548,1,23,20,1.13,-4.5,4.3389999999999995
549,1,23,21,1.09,-4.7,4.3274
550,1,23,22,1.09,-4.7,4.3274
551,1,23,23,0.88,-4.9,4.315799999999999
552,1,23,24,0.85,-5.2,4.2984
553,1,24,1,0.87,-5.4,4.2867999999999995
554,1,24,2,0.86,-5.5,4.281
555,1,24,3,0.86,-5.5,4.281
556,1,24,4,0.86,-5.5,4.281
557,1,24,5,0.86,-5.5,4.281
558,1,24,6,0.85,-5.8,4.263599999999999
559,1,24,7,0.85,-6.4,4.2288
560,1,24,8,0.86,-6.7,4.211399999999999
561,1,24,9,0.86,-6.8,4.2056
562,1,24,10,0.86,-6.7,4.211399999999999
563,1,24,11,0.88,-6.1,4.2462
564,1,24,12,0.89,-5.8,4.263599999999999
565,1,24,13,0.89,-5.4,4.2867999999999995
566,1,24,14,0.88,-5.4,4.2867999999999995
567,1,24,15,0.88,-5.2,4.2984
568,1,24,16,0.89,-5.8,4.263599999999999
