Månad,Dag,Timme,Årstimme,Meteonorm Lkp Utetemp (grad C),Meteonorm Lkp Utetemp heltal (grad C),SMHI Lkp 2015 Utetemp (grad C),SMHI Lkp 2015 Utetemp heltal (grad C),SMHI Lkp 2013 Utetemp (grad C),SMHI Lkp 2013 Utetemp heltal (grad C),SMHI Lkp 2010 Utetemp (grad C),SMHI Lkp 2010 Utetemp heltal (grad C)
6,24,19,4195,20.5, 21    , 13.80    , 14    ,16.9,17, 21.70    , 22    
6,24,20,4196,20.1, 20    , 13.20    , 13    ,16.5,17, 20.00    , 20    
6,24,21,4197,19.4, 19    , 12.30    , 12    ,15.1,15, 18.10    , 18    
6,24,22,4198,18.6, 19    , 11.80    , 12    ,13.4,13, 16.20    , 16    
6,24,23,4199,17.7, 18    , 11.50    , 12    ,13.7,14, 14.60    , 15    
6,24,24,4200,16.8, 17    , 11.30    , 11    ,14,14, 12.50    , 13    
6,25,1,4201,15.9, 16    , 10.80    , 11    ,13.5,14, 11.10    , 11    
6,25,2,4202,15, 15    , 10.50    , 11    ,12.1,12, 11.00    , 11    
6,25,3,4203,14, 14    , 10.10    , 10    ,10.9,11, 9.40    , 9    
6,25,4,4204,14.1, 14    , 10.00    , 10    ,10.1,10, 10.30    , 10    
6,25,5,4205,14.8, 15    , 10.10    , 10    ,11.4,11, 13.00    , 13    
6,25,6,4206,16.1, 16    , 10.40    , 10    ,13.3,13, 14.00    , 14    
6,25,7,4207,16.5, 17    , 11.70    , 12    ,14.8,15, 16.10    , 16    
6,25,8,4208,17.3, 17    , 13.10    , 13    ,15.6,16, 17.90    , 18    
6,25,9,4209,18.3, 18    , 13.10    , 13    ,16.6,17, 18.70    , 19    
6,25,10,4210,19, 19    , 13.40    , 13    ,17.9,18, 18.20    , 18    
6,25,11,4211,20, 20    , 13.60    , 14    ,18.7,19, 18.90    , 19    
6,25,12,4212,20.8, 21    , 15.50    , 16    ,19.3,19, 20.50    , 21    
6,25,13,4213,20.9, 21    , 16.80    , 17    ,19.8,20, 21.50    , 22    
6,25,14,4214,20.9, 21    , 17.90    , 18    ,20.1,20, 21.80    , 22    
6,25,15,4215,21.2, 21    , 17.60    , 18    ,20,20, 22.10    , 22    
6,25,16,4216,21.3, 21    , 17.60    , 18    ,19.9,20, 21.30    , 21    
6,25,17,4217,21.4, 21    , 17.10    , 17    ,19,19, 20.80    , 21    
6,25,18,4218,21.1, 21    , 16.60    , 17    ,18.5,19, 19.40    , 19    
